,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,1.02,1.07,1.1,1.09,1.09,18,39,79,102,127,77.6,0.7,0.64,0.14,1.01,73.6,5.4,50.7,3962,1867,251,0.93,0.92,70.6,10.5,2775,2524,64.4
yuurih,https://hltv.org/stats/players/12553/yuurih?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,1.05,1.05,1.07,1.06,1.1,18,44,78,96,144,79.9,0.71,0.66,0.14,1.07,70.8,4.2,45.9,4120,1973,227,1.26,1.01,78.6,14.2,2931,2704,62.2
Brollan,https://hltv.org/stats/players/13666/Brollan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.1,0.97,1.04,1.08,1.09,1.09,35,67,133,149,166,77.4,0.72,0.67,0.12,1.16,70.5,4.3,51.7,4821,2271,216,1.08,1.09,75.7,18.3,3457,3241,61.5
Noktse,https://hltv.org/stats/players/2161/Noktse?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,0.81,1.03,0.93,1.04,1.03,1,5,12,17,19,77.7,0.72,0.68,0.12,1.24,67.2,5.1,36.6,1552,722,66,1.23,1.2,73.3,22.4,1125,1059,63.3
fer,https://hltv.org/stats/players/8564/fer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,0.99,1.07,1.04,1.06,1.07,27,63,100,114,139,79,0.72,0.68,0.13,1.14,69.9,4.5,45.8,4127,1998,156,1.08,1.09,75,18.5,2968,2812,62.3
almazer,https://hltv.org/stats/players/11654/almazer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,0,1.11,1.08,1.08,1.05,0,14,23,45,58,76.9,0.69,0.64,0.14,1.07,71.8,4.2,47.6,2039,938,98,1.11,1,75,12.9,1410,1312,68.8
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.1,1.08,1.1,1.09,1.09,1.1,35,61,127,143,160,77.2,0.7,0.65,0.14,1.07,71.7,3.5,41.1,4603,2179,263,1.07,1,67.2,12.6,3233,2970,64.7
Flarich,https://hltv.org/stats/players/11250/Flarich?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.1,0.9,1,0.97,0.97,0.98,3,9,14,14,16,73.7,0.7,0.6,0.12,0.95,74.6,3.4,52.8,1243,594,115,0.95,0.85,76.1,8.1,864,749,67.3
alex,https://hltv.org/stats/players/8371/alex?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,0,0,0.93,0.99,0.99,0,0,8,21,34,76,0.71,0.64,0.13,1.12,69.4,4.5,45.5,1390,637,102,0.82,0.93,74,12.6,985,883,64.8
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.08,1.06,1.04,1.09,1.09,22,45,80,107,131,79.1,0.7,0.65,0.13,1.08,69.9,4.9,49.6,3725,1765,182,0.93,1,69.3,14.5,2594,2412,61.6
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,0.95,0.99,1.04,1.04,1.07,18,34,68,79,103,77.5,0.69,0.66,0.13,1.1,71.2,4.8,52.9,3263,1523,111,1.04,1.06,69.7,15.8,2260,2149,64.2
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,0.86,0.89,0.96,0.97,1.03,6,12,26,29,42,79.6,0.73,0.68,0.13,1.13,68.5,5.2,49.6,1697,806,97,0.93,0.96,77.7,13.8,1246,1149,59.4
