,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.82,0.91,1,1.01,1.03,7,21,40,45,59,75.6,0.66,0.7,0.13,1.06,67.4,4.8,54.1,1900,853,-67,0.98,1.04,66.5,15.8,1261,1328,54.7
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.02,0.94,0.94,0.98,1,1,35,49,70,83,89,65.2,0.62,0.61,0.11,0.92,71.9,2.8,25,2631,1146,26,1.22,1,75.2,13.4,1631,1605,57.4
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.94,0.96,0.97,0.98,0.98,12,33,62,92,97,73.3,0.67,0.69,0.13,0.98,68.7,3.6,51.1,3040,1372,-69,0.97,0.94,75.1,12.8,2024,2093,48.7
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0,0.95,0.98,0.99,1.01,0,2,20,24,40,79.1,0.7,0.75,0.13,1.06,65.9,1.7,45.2,1305,612,-59,0.81,0.99,72.5,16.9,916,975,47.9
refrezh,https://hltv.org/stats/players/10610/refrezh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,1.1,1.15,1.01,1.03,1.02,3,7,25,29,45,72.7,0.67,0.68,0.12,0.96,68.6,3.3,46,1449,663,-25,1.06,0.94,68.1,11.6,966,991,49.1
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.88,0.85,0.94,0.97,0.99,13,30,57,66,97,72.2,0.67,0.69,0.12,1.05,67,4.1,32,2825,1299,-46,0.93,1.03,71,17,1894,1940,53.7
gade,https://hltv.org/stats/players/8875/gade?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.72,0.92,1,1.01,1.01,7,23,49,55,68,71.4,0.64,0.67,0.14,0.97,70.3,3.5,54.9,1816,786,-55,0.84,0.93,70.1,12.5,1169,1224,52.9
Bubzkji,https://hltv.org/stats/players/9612/Bubzkji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0,1.1,1.02,1.01,1,0,2,20,24,37,77.5,0.67,0.7,0.13,0.97,67.5,3.9,51,1232,566,-42,0.96,0.95,78.5,14.4,824,866,46.7
AcilioN,https://hltv.org/stats/players/8151/AcilioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,1.16,0.81,0.94,0.96,0.96,1,6,31,50,56,69.4,0.63,0.64,0.13,0.87,72.2,4.3,46.5,2097,933,-28,0.75,0.84,81.1,9.4,1316,1344,55
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.89,0.93,0.96,0.98,1,31,48,70,85,104,73.9,0.68,0.7,0.11,1.02,67.1,4.2,55.2,2782,1313,-64,1.08,1.03,78.1,16,1885,1949,49.1
ANDROID,https://hltv.org/stats/players/9043/ANDROID?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.56,0.77,0.9,0.95,1,1,8,24,36,52,70,0.66,0.64,0.11,0.89,70.1,2.4,49.9,1701,783,21,0.93,0.88,74.1,9.8,1115,1094,50
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.01,0.96,0.9,0.96,0.96,1,25,47,74,89,105,72.4,0.66,0.66,0.12,0.94,68.4,3.9,42.5,2857,1294,-11,0.86,0.92,72.7,12.3,1876,1887,50.5
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.96,0.96,1,0.99,1.01,10,26,55,75,95,71.5,0.62,0.66,0.13,0.96,69.6,3.8,54.9,2735,1189,-107,0.94,0.97,76,14.1,1707,1814,47.6
dobu,https://hltv.org/stats/players/9521/dobu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0,0.74,0.84,0.9,0.89,0,1,4,14,29,76.6,0.67,0.73,0.14,1.04,67.1,2.9,54.1,1469,653,-85,0.82,0.94,72.6,14,985,1070,50.9
Subroza,https://hltv.org/stats/players/11231/Subroza?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.91,0.92,0.94,0.96,0.97,9,18,28,31,36,74.1,0.64,0.7,0.16,1,68.8,5.6,45.7,1209,543,-71,0.84,0.96,76.9,14.8,779,850,60.9
TOAO,https://hltv.org/stats/players/11278/TOAO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,1,1.16,0.94,1.02,1,3,7,29,55,75,69.4,0.63,0.65,0.12,0.95,69.7,4.7,44.9,2647,1148,-60,0.81,0.92,73,11.6,1661,1721,50
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.91,0.95,0.97,0.98,1,31,48,73,91,110,73.1,0.64,0.68,0.14,0.97,68.1,4.4,49.8,2935,1290,-113,0.95,0.94,73.6,12.2,1876,1989,48.2
dephh,https://hltv.org/stats/players/7873/dephh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.27,0.93,0.99,0.96,0.98,1,8,24,36,52,73.5,0.64,0.71,0.15,1.03,67.8,6.2,41,1701,750,-122,0.84,1.01,71.9,16.2,1083,1205,50
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.9,0.93,0.98,0.98,0.99,19,44,75,97,113,70,0.62,0.65,0.13,0.9,70.9,4.4,44,3053,1302,-101,0.95,0.93,75.4,11.6,1886,1987,47.4
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.84,0.89,0.93,0.94,0.99,20,37,53,65,83,72.3,0.62,0.65,0.15,0.88,70.4,7.4,39.8,2388,1037,-81,1.05,0.92,74.2,10.6,1483,1564,50
solo,https://hltv.org/stats/players/174/solo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1,0.77,0.82,0.84,0.87,0.88,4,13,29,41,50,72.6,0.65,0.67,0.13,1.01,65.6,5.7,46.3,2523,1123,-55,0.97,0.99,74.8,14.5,1632,1687,50
ryann,https://hltv.org/stats/players/12088/ryann?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0,0,0,0.89,0.96,0,0,0,7,25,70.6,0.66,0.69,0.12,0.96,69.7,1.7,55.2,1582,704,-47,0.8,0.91,75.2,12.4,1048,1095,50
pNshr,https://hltv.org/stats/players/1278/pNshr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0,0,0.86,0.88,0.89,0,0,10,15,29,69.8,0.61,0.66,0.15,0.91,71.3,2,43.1,1230,533,-63,0.87,0.92,78.6,11.7,754,817,52
Edward,https://hltv.org/stats/players/483/Edward?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0.88,0.95,0.98,0.99,0.99,41,85,118,156,169,70.3,0.63,0.66,0.14,0.93,70.4,3.9,49.5,4416,1962,-153,0.82,0.93,76.5,12.6,2772,2925,53.2
kabal,https://hltv.org/stats/players/10870/kabal?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0,0.9,0.8,0.85,0.86,0,1,4,14,29,73.7,0.68,0.71,0.12,1,66.3,3.9,48.9,1469,674,-46,0.94,0.94,66.7,11.7,992,1038,43.9
MAJ3R,https://hltv.org/stats/players/150/MAJ3R?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0.83,0.89,0.93,0.95,0.97,5,19,29,47,65,70.3,0.63,0.66,0.12,0.97,67,4.6,45.3,1975,878,-59,0.99,1,76.6,15.6,1254,1313,49.3
Kvik,https://hltv.org/stats/players/8459/Kvik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0.66,0.81,0.89,0.92,0.94,2,6,16,17,26,76.4,0.66,0.72,0.16,0.97,67.8,4.9,41.6,1611,736,-102,0.86,0.93,75.7,13.8,1065,1167,44.3
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0.77,0.83,0.98,0.98,1.04,1,2,19,25,33,71.3,0.63,0.66,0.12,0.88,69,3.1,44.3,1276,561,-30,0.76,0.85,64.2,8.6,810,840,46.8
MAIROLLS,https://hltv.org/stats/players/10666/MAIROLLS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.99,0,0,0,0.9,0.83,0,0,0,3,6,71.7,0.64,0.7,0.14,1,67.9,3.5,49.2,1198,537,-72,0.87,1,84,18.4,765,837,47.9
Ex6TenZ,https://hltv.org/stats/players/7166/Ex6TenZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.8,0.86,0.91,0.92,0.93,10,21,34,42,48,71.7,0.61,0.68,0.14,0.96,68.3,4.9,42.1,1770,747,-121,1,0.99,69,14.3,1080,1201,47
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.79,0.82,0.9,0.94,0.95,2,5,35,57,61,71.8,0.64,0.68,0.14,0.96,67.9,4,48.9,1815,817,-79,0.83,0.92,77,12.7,1160,1239,43.5
dragonfly,https://hltv.org/stats/players/10992/dragonfly?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0,1,0.94,0.98,0.99,0,2,20,24,40,67.3,0.64,0.69,0.08,1.06,65,2.7,24.2,1305,583,-61,1.47,1.22,69.1,21.3,833,894,47.9
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.82,0.82,0.91,0.93,0.96,13,28,68,91,108,75.5,0.61,0.74,0.17,1.08,66.4,5.2,57,3171,1332,-409,0.8,1.04,70.2,17.3,1943,2352,47.9
USTILO,https://hltv.org/stats/players/8771/USTILO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.88,0.87,0.91,0.94,0.94,12,26,49,68,71,69.2,0.62,0.71,0.13,1.02,69.1,2.8,45,2234,951,-209,0.71,0.96,73.4,17.3,1378,1587,51.8
Nifty,https://hltv.org/stats/players/9069/Nifty?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.84,0.89,0.92,0.96,0.96,12,26,50,71,77,65.3,0.63,0.66,0.08,0.98,66.6,3.5,34.5,2402,1033,-68,0.96,1.03,71.9,16.6,1517,1585,50
jmqa,https://hltv.org/stats/players/8368/jmqa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.69,0.78,0.88,0.9,0.91,2,6,16,17,26,71.2,0.64,0.69,0.12,0.95,67.8,4.2,52,1544,691,-83,0.83,0.92,70.5,12.4,988,1071,41.4
jnt,https://hltv.org/stats/players/11747/jnt?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,0.9,0.83,0.9,0.89,0.9,3,7,9,14,16,63.3,0.61,0.62,0.1,0.92,68.4,2.8,29.1,1170,489,-13,1.2,1,77.6,13.9,712,725,46.7
hAdji,https://hltv.org/stats/players/9656/hAdji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.98,1,0.96,0.95,0.96,0.97,7,9,23,33,44,70.5,0.63,0.69,0.13,0.98,67.8,2.6,45,1222,522,-64,0.67,0.89,71.6,13.3,774,838,40.8
seized,https://hltv.org/stats/players/3347/seized?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,0.95,0.92,0.92,0.96,0.96,6,21,36,51,59,74.2,0.63,0.72,0.16,1.03,66.5,5.8,47.1,1746,765,-150,0.83,0.99,74.1,16.2,1103,1253,46.2
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,0,0.7,0.91,0.94,0.97,0,6,19,42,73,69.2,0.63,0.69,0.14,0.91,70.3,2.4,50.8,2580,1141,-154,0.86,0.92,71.5,12,1621,1775,47.4
glow,https://hltv.org/stats/players/205/glow?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,0.65,0.72,0.83,0.83,0.85,4,13,29,41,50,67.6,0.62,0.67,0.13,0.87,70.7,3.2,51,2523,1127,-112,0.97,0.91,77.2,11.3,1571,1683,53.1
Relyks,https://hltv.org/stats/players/8517/Relyks?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,1.28,1.1,0.94,0.9,0.9,1,5,9,23,36,68.7,0.63,0.68,0.11,0.92,68.8,5.8,47.8,1531,679,-73,0.87,0.94,76.3,13.1,971,1044,49.2
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,0.89,0.91,0.95,0.96,0.97,49,103,136,161,170,67,0.6,0.66,0.11,0.92,68.8,4.3,51.9,4498,1943,-234,0.88,0.97,74.1,13.7,2720,2954,47.1
Tommy,https://hltv.org/stats/players/11460/Tommy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.97,0.64,0.67,0.71,0.76,0.77,1,2,12,22,28,74,0.63,0.74,0.15,1.02,67.5,3,48.1,1596,695,-174,0.88,1.02,68.2,16,1007,1181,45.3
emagine,https://hltv.org/stats/players/8744/emagine?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.71,0.76,0.71,0.76,0.82,3,6,10,16,27,68.1,0.62,0.68,0.14,0.9,68.9,3.4,46.4,1960,847,-126,0.77,0.87,74.6,10.3,1206,1332,40.8
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.9,0.91,0.93,0.95,0.95,46,99,127,149,157,69.5,0.6,0.67,0.14,0.91,68.3,5.6,43.6,4330,1822,-296,0.9,0.93,74.7,11.6,2616,2912,45.2
tiziaN,https://hltv.org/stats/players/5796/tiziaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.93,0.92,0.92,0.94,0.95,18,35,62,84,91,66.3,0.59,0.64,0.13,0.87,69,3.8,56.5,2729,1144,-140,0.93,0.92,65.8,10.5,1619,1759,47.6
MSL,https://hltv.org/stats/players/7156/MSL?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.95,0.91,0.92,0.93,0.94,18,27,63,87,109,69.4,0.62,0.71,0.14,1,67.5,4.3,38.8,3177,1380,-292,0.76,0.99,74.6,16.4,1975,2267,42
Dosia,https://hltv.org/stats/players/735/Dosia?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.99,0.91,0.92,0.95,0.95,16,40,71,94,111,71.9,0.62,0.69,0.15,0.88,68.7,5.5,47.6,3215,1425,-232,0.91,0.9,75.8,11.8,1998,2230,45
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.72,0.82,0.91,0.94,0.95,9,34,76,84,111,69.9,0.62,0.68,0.12,0.91,68.1,4.3,48,2951,1302,-191,1,0.99,74.5,14.2,1830,2021,46.9
morelz,https://hltv.org/stats/players/8324/morelz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.61,0.72,0.84,0.88,0.88,3,6,21,24,39,71,0.63,0.71,0.12,0.94,67.3,3.1,46.2,1580,692,-133,0.82,0.95,72.3,13.8,994,1127,41.4
bodyy,https://hltv.org/stats/players/8374/bodyy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.82,0.86,0.93,0.94,0.95,12,39,70,83,92,67.7,0.6,0.68,0.12,0.93,68.3,2.1,56.3,2676,1118,-216,0.83,0.95,64.5,12.4,1609,1825,47
crush,https://hltv.org/stats/players/9348/crush?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,1.03,1.02,0.93,0.93,0.92,4,5,18,23,32,66.9,0.61,0.66,0.13,0.9,67.7,4.7,51.7,1332,567,-62,0.76,0.89,77.6,12.1,813,875,44.9
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.96,0.88,0.91,0.92,0.93,0.94,32,52,63,78,88,69,0.59,0.67,0.14,0.83,69.9,5.2,43.2,2501,1085,-184,0.99,0.9,74.6,10.3,1487,1671,43.6
aliStair,https://hltv.org/stats/players/11139/aliStair?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.95,0.74,0.74,0.63,0.75,0.83,3,6,8,16,28,67.8,0.62,0.69,0.12,0.96,66.9,2.3,41,1501,658,-108,0.84,0.97,74.3,15,935,1043,45.8
S0tF1k,https://hltv.org/stats/players/9081/S0tF1k?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.95,1.17,1.17,0.84,0.96,0.92,2,2,7,25,33,68.3,0.6,0.69,0.15,0.88,68.7,4.2,45.6,1385,596,-125,0.83,0.9,77.6,11.2,826,951,46.3
dimasick,https://hltv.org/stats/players/13780/dimasick?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.95,1.19,0.98,0.98,0.99,0.95,3,13,27,29,36,73,0.64,0.73,0.13,0.91,67.4,3.4,44.8,1189,533,-97,0.83,0.92,61,11.3,766,863,38.3
STYKO,https://hltv.org/stats/players/6904/STYKO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.95,0.92,0.88,0.92,0.94,0.94,49,77,116,128,135,67,0.58,0.65,0.13,0.81,69.5,5.8,58.1,3711,1525,-278,0.81,0.86,75.1,9.5,2146,2424,42.6
mir,https://hltv.org/stats/players/8789/mir?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.94,0.94,0.86,0.9,0.91,0.92,11,23,43,54,64,67.1,0.61,0.68,0.12,0.85,68.4,2.8,46.6,1833,792,-115,0.76,0.85,65.5,9.5,1126,1241,37.1
KrizzeN,https://hltv.org/stats/players/12161/KrizzeN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.94,0.78,0.84,0.94,0.94,0.94,7,21,40,45,59,69.3,0.61,0.71,0.14,0.92,66.8,3.3,58.3,1900,803,-187,0.93,0.95,70.9,13.1,1153,1340,42.7
balblna,https://hltv.org/stats/players/8294/balblna?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.93,0.63,0.62,0.82,0.82,0.85,2,6,16,17,26,67.8,0.59,0.68,0.15,0.87,68.1,4.9,46.5,1544,642,-141,0.84,0.88,76.6,11.4,909,1050,43.1
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.93,0.85,0.89,0.92,0.93,0.93,41,85,118,156,169,67.6,0.56,0.67,0.16,0.86,68.9,5.8,43.1,4416,1808,-479,0.76,0.9,74,11.4,2490,2969,44.5
DickStacy,https://hltv.org/stats/players/12876/DickStacy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0.92,0.82,0.85,0.89,0.86,4,9,14,25,33,66.5,0.59,0.69,0.12,0.86,68.4,3.6,48.5,1419,597,-145,0.94,0.93,68.1,11.1,841,986,40.4
tecek,https://hltv.org/stats/players/8256/tecek?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0,0.8,0.7,0.79,0.82,0,2,7,16,25,71.3,0.6,0.73,0.16,0.89,67.2,3.6,38.2,1206,514,-153,0.62,0.86,75.2,13.3,727,880,32.6
hutji,https://hltv.org/stats/players/8790/hutji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0.77,0.88,0.91,0.89,0.91,6,11,28,37,42,69.2,0.58,0.7,0.14,0.87,66.4,4.5,52.3,1218,507,-145,0.91,0.94,71,13,711,856,39.1
kRYSTAL,https://hltv.org/stats/players/7218/kRYSTAL?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0.78,0.76,0.86,0.86,0.9,4,5,23,31,43,66.8,0.58,0.7,0.13,0.82,69.9,4.4,37,1324,559,-163,0.72,0.89,68.1,11.4,764,927,41.2
NEO,https://hltv.org/stats/players/165/NEO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0.79,0.79,0.87,0.9,0.89,13,30,57,66,97,68.7,0.57,0.69,0.14,0.83,66.8,5.5,41.9,2825,1177,-322,0.75,0.87,69.5,10.6,1622,1944,39.8
captainMo,https://hltv.org/stats/players/5187/captainMo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.92,0.79,0.79,0.84,0.89,0.89,10,22,57,74,91,66.8,0.6,0.73,0.13,0.91,66.7,3.5,46.8,3202,1351,-409,0.74,0.92,73.1,13.3,1914,2323,37.8
gob b,https://hltv.org/stats/players/136/gob%20b?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.91,0.83,0.83,0.87,0.87,0.9,18,36,66,86,93,66.1,0.58,0.67,0.13,0.85,66.4,7,49.5,2650,1084,-255,0.79,0.89,77.5,11.9,1527,1782,34.3
daps,https://hltv.org/stats/players/8521/daps?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.91,0.82,0.83,0.89,0.9,0.91,19,44,75,97,113,63.5,0.53,0.66,0.14,0.79,70.6,4.6,40.8,3053,1191,-391,0.68,0.85,69.1,9.6,1630,2021,37.9
ngiN,https://hltv.org/stats/players/9857/ngiN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.91,0.75,0.81,0.83,0.85,0.88,5,19,28,45,62,64.1,0.56,0.65,0.14,0.76,69.2,3.6,45.2,1888,765,-175,0.74,0.83,74.3,8.8,1049,1224,41.7
DeadFox,https://hltv.org/stats/players/8716/DeadFox?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.91,0.84,0.8,0.87,0.89,0.9,13,28,68,91,108,63.3,0.56,0.67,0.13,0.85,67.7,4,43.8,3171,1254,-352,0.9,0.91,75.5,11.3,1770,2122,33.9
BONA,https://hltv.org/stats/players/10114/BONA?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.91,0,0,0.8,0.8,0.87,0,0,2,2,10,64.7,0.59,0.68,0.12,0.83,67,4.1,48.9,1217,508,-109,0.85,0.9,67.7,10.4,720,829,46.7
HUNDEN,https://hltv.org/stats/players/7415/HUNDEN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.9,0,0,0,1.04,0.91,0,0,0,2,8,68.5,0.57,0.72,0.16,0.86,65.9,4.9,47.8,1192,488,-183,0.69,0.89,68.6,11.4,676,859,36.2
LOVEYY,https://hltv.org/stats/players/8957/LOVEYY?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.89,0.69,0.72,0.71,0.77,0.8,2,8,11,16,23,65.9,0.59,0.72,0.12,0.88,64.6,3,52.9,1581,663,-217,0.74,0.92,70.1,13.5,926,1143,31.1
Golden,https://hltv.org/stats/players/11110/Golden?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.89,0.83,0.85,0.85,0.86,0.87,23,43,65,72,78,64.9,0.56,0.7,0.14,0.82,66.3,4.9,47.2,2284,915,-303,0.66,0.85,74.9,10.8,1289,1592,38.8
torben,https://hltv.org/stats/players/10993/torben?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.85,0,1.18,0.86,0.85,0.84,0,2,20,24,40,59.4,0.53,0.68,0.1,0.77,65,2.4,48.1,1305,503,-185,0.66,0.83,63.6,9.2,696,881,27.1
SmithZz,https://hltv.org/stats/players/7170/SmithZz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,0.85,0.78,0.78,0.81,0.82,0.84,8,19,32,38,43,63.4,0.55,0.73,0.12,0.82,64.8,3.6,52.4,1311,527,-234,0.72,0.91,61,12,722,956,27.7
