,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
Mr.six,https://hltv.org/stats/players/10885/Mr.six?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.23024999999999998,87.4,0.82,0.7,0.13,1.32,69.3,2.1,182.0,1.09,75.6,67.2
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.20825,84.4,0.78,0.62,0.13,1.19,73.3,3.5,444.0,1.15,70.5,77.0
valde,https://hltv.org/stats/players/9031/valde?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.98275,87.1,0.81,0.69,0.15,1.25,72.5,4.4,300.0,1.26,74.2,70.4
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8037500000000001,85.9,0.79,0.65,0.17,1.24,74.3,4.2,299.0,1.3,74.3,72.2
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.767,82.0,0.77,0.64,0.15,1.18,73.5,2.7,324.0,1.07,77.1,71.6
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.152,85.1,0.82,0.71,0.11,1.25,69.0,1.1,197.0,1.13,74.9,66.2
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.10225,76.0,0.76,0.62,0.11,1.18,71.3,4.1,433.0,1.59,75.1,74.1
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7450000000000001,84.7,0.78,0.67,0.15,1.22,71.1,4.6,243.0,0.93,77.6,77.4
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.166,75.5,0.74,0.59,0.11,1.2,72.1,3.3,619.0,1.78,78.1,71.8
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.53375,88.0,0.79,0.69,0.15,1.28,72.5,4.5,170.0,1.06,71.8,72.9
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0705,84.2,0.78,0.68,0.13,1.22,70.3,2.5,374.0,1.21,80.3,71.8
shox,https://hltv.org/stats/players/1225/shox?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1304999999999998,84.1,0.79,0.68,0.12,1.21,70.7,1.8,346.0,1.22,71.7,63.9
draken,https://hltv.org/stats/players/9255/draken?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.76325,76.9,0.76,0.62,0.11,1.23,72.5,1.6,375.0,1.44,75.6,76.9
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.092,80.6,0.75,0.65,0.14,1.23,69.8,4.6,235.0,0.95,78.4,66.7
Savage,https://hltv.org/stats/players/180/Savage?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.73525,81.8,0.77,0.65,0.14,1.25,70.7,5.0,434.0,1.31,79.3,68.9
LOVEYY,https://hltv.org/stats/players/8957/LOVEYY?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8585000000000002,85.6,0.77,0.68,0.16,1.22,72.5,3.2,383.0,1.17,75.8,73.4
