,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
Drea3er,https://hltv.org/stats/players/11161/Drea3er?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.22850000000000004,76.2,0.71,0.68,0.12,1.12,68.1,2.0,41.0,1.19,72.7,56.9
Ex6TenZ,https://hltv.org/stats/players/7166/Ex6TenZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7997500000000001,79.6,0.69,0.66,0.15,1.12,70.0,3.2,57.0,1.02,71.3,58.3
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9249999999999999,82.1,0.72,0.69,0.18,1.23,72.3,3.8,67.0,1.1,75.6,62.0
JW,https://hltv.org/stats/players/3849/JW?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.069,76.2,0.7,0.66,0.14,1.17,69.0,4.6,125.0,1.17,81.8,64.2
USTILO,https://hltv.org/stats/players/8771/USTILO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6999999999999998,80.6,0.72,0.71,0.15,1.16,69.5,1.8,23.0,0.91,77.6,66.2
SZPERO,https://hltv.org/stats/players/973/SZPERO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.74975,74.0,0.7,0.65,0.11,1.09,71.2,3.7,107.0,1.17,72.1,55.3
crisby,https://hltv.org/stats/players/1064/crisby?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6312500000000001,78.2,0.72,0.71,0.14,1.09,70.8,2.4,22.0,0.98,77.9,56.9
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9972499999999999,67.4,0.65,0.58,0.11,0.96,72.3,2.5,209.0,1.64,75.5,59.8
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0459999999999998,79.1,0.7,0.66,0.16,1.04,71.7,4.2,104.0,1.04,75.4,62.1
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0094999999999998,81.5,0.73,0.71,0.16,1.23,69.1,2.7,52.0,1.02,76.0,65.2
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.062,81.4,0.72,0.7,0.14,1.14,69.2,3.4,57.0,0.88,77.8,70.6
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.624,72.7,0.7,0.69,0.12,1.09,64.3,2.6,5.0,1.06,74.5,49.0
fox,https://hltv.org/stats/players/629/fox?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8805000000000002,74.0,0.68,0.66,0.11,1.15,67.3,3.6,40.0,1.22,69.9,59.5
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0122499999999999,79.0,0.72,0.7,0.15,1.16,70.1,2.3,52.0,1.13,72.6,58.9
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.10200000000000001,77.5,0.7,0.68,0.15,1.09,70.5,3.0,32.0,1.03,69.2,63.3
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0042499999999999,77.5,0.66,0.62,0.17,0.99,71.0,6.0,142.0,1.04,81.9,61.3
n0thing,https://hltv.org/stats/players/203/n0thing?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.01425,78.4,0.7,0.68,0.15,1.08,70.1,5.3,53.0,1.05,78.5,62.8
Happy,https://hltv.org/stats/players/7429/Happy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.99725,78.0,0.73,0.69,0.11,1.0,68.8,2.3,124.0,1.36,82.9,64.3
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0202499999999999,74.7,0.7,0.67,0.13,1.03,70.1,2.0,86.0,1.0,74.3,57.8
seized,https://hltv.org/stats/players/3347/seized?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.037,78.0,0.68,0.65,0.15,1.08,70.9,5.6,111.0,1.0,77.5,63.3
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0290000000000001,73.4,0.66,0.62,0.14,0.96,71.7,4.6,106.0,0.92,79.6,59.0
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7192500000000001,76.9,0.69,0.67,0.13,0.96,72.3,2.2,50.0,0.98,73.6,54.1
wenton,https://hltv.org/stats/players/2031/wenton?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.724,75.3,0.68,0.67,0.16,1.11,69.2,3.1,8.0,1.02,78.0,56.2
Artill,https://hltv.org/stats/players/10167/Artill?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.17325,83.0,0.73,0.76,0.15,1.28,68.2,3.2,-37.0,1.09,74.2,53.4
Pimp,https://hltv.org/stats/players/7154/Pimp?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8015000000000001,77.3,0.7,0.68,0.14,1.03,69.5,3.9,24.0,1.14,72.2,61.3
sAw,https://hltv.org/stats/players/7821/sAw?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.20900000000000002,77.1,0.68,0.67,0.19,1.08,69.6,5.6,16.0,1.05,81.4,58.7
kUcheR,https://hltv.org/stats/players/302/kUcheR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.3605,76.5,0.69,0.67,0.13,1.06,70.7,1.9,26.0,0.9,71.6,53.2
glace,https://hltv.org/stats/players/1883/glace?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.46950000000000003,72.9,0.66,0.64,0.14,1.0,71.1,3.9,44.0,1.03,76.1,56.7
Argency,https://hltv.org/stats/players/9906/Argency?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7165,76.5,0.69,0.67,0.16,1.0,70.0,4.2,41.0,0.85,73.4,60.6
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7295,83.5,0.71,0.72,0.17,1.25,67.8,4.2,-29.0,0.94,70.3,60.7
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.03425,79.6,0.68,0.67,0.16,1.12,70.5,2.5,22.0,0.92,74.2,59.6
shroud,https://hltv.org/stats/players/8349/shroud?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.021,74.7,0.67,0.65,0.12,0.99,70.8,3.9,62.0,1.06,72.7,60.7
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9825,75.6,0.67,0.66,0.15,1.03,68.9,3.5,15.0,0.89,74.5,54.5
forget,https://hltv.org/stats/players/2292/forget?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.14500000000000002,80.9,0.72,0.75,0.15,1.19,67.9,4.6,-43.0,0.9,66.7,55.9
rindA,https://hltv.org/stats/players/9336/rindA?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.47225000000000006,74.9,0.69,0.69,0.15,1.06,71.1,3.2,-5.0,0.88,76.5,62.0
steel,https://hltv.org/stats/players/7382/steel?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.62925,71.0,0.68,0.67,0.13,0.97,70.2,2.1,8.0,0.91,73.0,56.2
