,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
RoLEX,https://hltv.org/stats/players/10663/RoLEX?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.13,0.0,0.0,0.0,1.2,1.2,79.2,0.73,0.66,0.15,1.14,72.7,2.6,48.3,1458.0,728.0,96.0,1.08,1.02,73.3,14.2,1065.0,969.0,0.0
tucks,https://hltv.org/stats/players/9108/tucks?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.67,0.61,0.56,0.71,0.94,77.1,0.74,0.63,0.12,1.18,68.7,2.4,36.9,1320.0,652.0,141.0,1.19,1.07,80.5,16.8,979.0,838.0,0.0
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.12,1.04,1.03,1.09,1.11,1.11,82.6,0.72,0.66,0.16,1.14,70.3,8.4,40.1,3482.0,1687.0,210.0,1.14,1.02,75.8,14.1,2516.0,2306.0,0.0
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,1.02,1.05,1.1,1.1,1.12,81.4,0.73,0.69,0.14,1.26,68.8,4.4,48.6,3208.0,1522.0,114.0,0.95,1.12,71.0,19.4,2343.0,2229.0,0.0
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.0,1.06,1.08,0.99,1.08,80.3,0.7,0.65,0.16,1.11,72.4,4.1,52.8,1612.0,769.0,78.0,1.02,1.02,74.1,13.8,1131.0,1053.0,0.0
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.77,0.89,0.95,1.03,1.07,79.5,0.73,0.64,0.13,1.05,72.8,4.9,48.9,2251.0,1124.0,197.0,1.18,0.97,72.3,12.3,1644.0,1447.0,0.0
MiGHTYMAX,https://hltv.org/stats/players/8983/MiGHTYMAX?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.0,0.0,0.49,0.49,1.06,78.6,0.72,0.63,0.13,1.09,71.7,4.3,48.3,1034.0,482.0,93.0,1.12,0.96,74.7,12.3,745.0,652.0,0.0
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.12,1.05,1.09,1.11,1.11,1.11,73.4,0.73,0.62,0.09,1.14,70.8,3.0,27.0,3214.0,1574.0,337.0,1.32,1.12,77.7,17.2,2337.0,2000.0,0.0
nex,https://hltv.org/stats/players/7256/nex?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,1.3,1.23,1.08,1.1,1.08,79.6,0.73,0.66,0.15,1.08,72.5,4.5,49.3,2175.0,1057.0,145.0,1.17,0.94,68.5,10.1,1577.0,1432.0,0.0
ropz,https://hltv.org/stats/players/11816/ropz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,1.02,1.09,1.08,1.1,1.11,80.2,0.73,0.66,0.13,1.1,71.0,2.2,49.6,2167.0,1031.0,170.0,0.98,0.97,73.6,12.7,1592.0,1422.0,0.0
Olivia,https://hltv.org/stats/players/10664/Olivia?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.0,0.0,0.0,0.56,0.84,81.9,0.75,0.7,0.14,1.19,70.7,2.9,39.3,1106.0,552.0,50.0,1.09,1.1,72.3,18.2,827.0,777.0,0.0
j9,https://hltv.org/stats/players/13467/j9?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.0,0.0,0.0,0.0,0.89,81.4,0.74,0.72,0.15,1.22,70.3,2.0,45.7,1129.0,549.0,26.0,1.33,1.13,72.1,17.2,838.0,812.0,0.0
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.12,1.09,1.07,1.07,1.08,1.11,82.4,0.74,0.69,0.15,1.21,68.9,5.4,49.1,2793.0,1345.0,124.0,0.96,1.04,76.2,16.8,2057.0,1933.0,0.0
glace,https://hltv.org/stats/players/1883/glace?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.12,0.0,0.0,0.0,1.03,1.02,73.4,0.7,0.58,0.12,1.01,73.2,3.9,51.6,1043.0,497.0,121.0,1.09,0.94,77.1,10.6,731.0,610.0,0.0
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.11,1.05,1.07,1.08,1.1,1.1,81.0,0.73,0.68,0.14,1.09,72.3,4.1,57.8,2405.0,1169.0,120.0,0.95,0.96,74.0,13.2,1745.0,1625.0,0.0
NaOw,https://hltv.org/stats/players/11555/NaOw?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.11,0.0,0.0,0.0,0.0,0.77,77.4,0.72,0.68,0.14,1.12,73.0,1.9,45.3,948.0,464.0,42.0,1.1,1.04,65.7,13.6,685.0,643.0,0.0
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.11,0.94,0.92,1.01,1.06,1.06,79.7,0.73,0.69,0.13,1.15,70.6,3.0,63.1,2648.0,1305.0,117.0,1.12,1.06,65.6,15.3,1943.0,1826.0,0.0
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.11,0.0,0.0,0.0,0.98,0.98,82.8,0.74,0.71,0.15,1.15,70.1,4.2,51.6,1897.0,951.0,62.0,1.06,1.05,72.4,16.4,1404.0,1342.0,0.0
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.11,0.0,0.0,0.0,1.08,1.01,81.0,0.7,0.66,0.18,1.07,71.6,5.4,45.0,1341.0,630.0,56.0,0.81,0.92,77.6,12.5,937.0,881.0,0.0
