,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.97,1.04,1.06,1.07,1.08,72.5,0.73,0.67,0.09,1.08,70.8,1.6,34.0,1252.0,620.0,69.0,1.28,1.09,72.0,17.1,908.0,839.0,0.0
markeloff,https://hltv.org/stats/players/338/markeloff?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,1.02,0.99,1.03,1.08,1.07,75.0,0.68,0.63,0.13,0.99,71.2,5.4,44.4,1105.0,521.0,57.0,1.17,0.95,71.9,11.0,750.0,693.0,0.0
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.99,1.04,1.06,1.07,1.08,79.1,0.69,0.67,0.16,1.0,71.5,5.6,45.2,1919.0,932.0,44.0,0.98,0.96,72.4,12.5,1330.0,1286.0,0.0
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,1.03,1.05,1.04,1.06,1.07,79.5,0.68,0.68,0.16,1.1,70.0,3.0,51.0,3094.0,1409.0,4.0,0.98,1.0,74.4,14.0,2114.0,2110.0,0.0
loWel,https://hltv.org/stats/players/3997/loWel?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,0.99,1.04,1.0,0.99,1.02,76.0,0.67,0.65,0.13,1.0,72.0,4.3,47.3,1266.0,591.0,30.0,1.18,0.99,73.5,12.9,850.0,820.0,0.0
byali,https://hltv.org/stats/players/5386/byali?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,1.04,1.05,1.04,1.04,1.04,78.8,0.71,0.69,0.15,1.09,70.0,3.4,50.7,3012.0,1440.0,42.0,1.22,1.05,74.4,15.4,2124.0,2082.0,0.0
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.07,0.99,1.06,1.06,1.07,1.08,76.6,0.71,0.67,0.11,1.08,69.2,4.6,49.6,3259.0,1585.0,142.0,1.04,1.03,73.2,14.9,2311.0,2169.0,0.0
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,1.04,1.01,1.02,1.07,1.07,78.5,0.71,0.68,0.16,1.05,70.6,3.2,52.6,1693.0,818.0,55.0,0.93,0.93,67.9,11.5,1209.0,1154.0,0.0
Nifty,https://hltv.org/stats/players/9069/Nifty?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,0.76,0.85,0.94,1.01,1.03,70.7,0.7,0.66,0.08,1.14,68.4,2.7,31.7,2165.0,1003.0,87.0,1.24,1.14,74.6,18.8,1511.0,1424.0,0.0
mou,https://hltv.org/stats/players/964/mou?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,1.04,0.99,1.05,1.05,1.06,71.6,0.7,0.65,0.12,1.09,69.7,4.5,25.6,2793.0,1327.0,127.0,1.18,1.08,75.9,16.7,1944.0,1817.0,0.0
