,Webpage
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Dima,https://hltv.org/stats/players/8125/Dima?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
TENZKI,https://hltv.org/stats/players/5287/TENZKI?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
stfN,https://hltv.org/stats/players/8800/stfN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
buster,https://hltv.org/stats/players/11942/buster?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Hobbit,https://hltv.org/stats/players/8528/Hobbit?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
niko,https://hltv.org/stats/players/10264/niko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
waterfaLLZ,https://hltv.org/stats/players/8727/waterfaLLZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
xccurate,https://hltv.org/stats/players/10263/xccurate?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
nak,https://hltv.org/stats/players/169/nak?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
phr,https://hltv.org/stats/players/11891/phr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
DD,https://hltv.org/stats/players/7026/DD?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
steel,https://hltv.org/stats/players/7382/steel?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
malta,https://hltv.org/stats/players/11485/malta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ImpressioN,https://hltv.org/stats/players/9339/ImpressioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
yay,https://hltv.org/stats/players/8513/yay?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
denis,https://hltv.org/stats/players/7511/denis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
sAw,https://hltv.org/stats/players/7821/sAw?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
oSee,https://hltv.org/stats/players/13249/oSee?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
BURNRUOk,https://hltv.org/stats/players/9636/BURNRUOk?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
draken,https://hltv.org/stats/players/9255/draken?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
