,Webpage,AgainstTop50
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SHOOWTiME,https://hltv.org/stats/players/9220/SHOOWTiME?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SmithZz,https://hltv.org/stats/players/7170/SmithZz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
advent,https://hltv.org/stats/players/8600/advent?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
daps,https://hltv.org/stats/players/8521/daps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
AcilioN,https://hltv.org/stats/players/8151/AcilioN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Maikelele,https://hltv.org/stats/players/1045/Maikelele?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
ryk,https://hltv.org/stats/players/2284/ryk?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
hooch,https://hltv.org/stats/players/499/hooch?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
denis,https://hltv.org/stats/players/7511/denis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
hazed,https://hltv.org/stats/players/8347/hazed?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Shara,https://hltv.org/stats/players/1866/Shara?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
B1ad3,https://hltv.org/stats/players/472/B1ad3?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
MSL,https://hltv.org/stats/players/7156/MSL?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
nkl,https://hltv.org/stats/players/5327/nkl?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
pronax,https://hltv.org/stats/players/41/pronax?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
